,x,y,z,cluster
137,-3338.9836,1447.396,-1040.3682,0
138,-3051.4773,1607.8298,-1020.08136,0
139,-3545.9814,1324.4492,-1047.7616,0
140,-2896.6992,1531.1344,-1107.221,0
141,-3510.911,1419.3721,-1067.4431,0
142,-2887.6301,1615.8043,-1032.595,0
143,-3490.3577,1398.6908,-1018.11615,0
144,-3209.081,1484.107,-1073.6941,0
145,-3537.1074,1442.4738,-1099.2188,0
146,-2525.2456,1691.965,-1084.9998,0
147,-3387.3147,1506.8693,-1072.7927,0
148,-3320.5996,1482.1556,-1076.7537,0
149,-3079.6057,1578.4984,-1031.2443,0
150,-2951.8616,1598.7189,-1023.93933,0
151,-3649.3806,1425.3798,-1054.4812,0
152,-3828.832,1363.3579,-1023.7468,0
153,-3657.2253,1457.5312,-1026.3854,0
154,-2783.934,1672.0309,-1054.6284,0
155,-3768.1794,1355.9214,-1040.1023,0
156,-3783.8271,1312.1224,-1034.7656,0
157,-3126.7935,1546.2592,-992.3136,0
158,-3425.4504,1447.8617,-1056.975,0
159,-2890.9355,1595.2402,-1015.4251,0
160,-2994.5085,1532.7812,-993.5121,0
161,-3139.1038,1443.986,-1045.8612,0
162,-3228.348,1505.8431,-1043.9832,0
163,-3193.338,1526.0536,-1063.0966,0
164,-3360.0496,1502.9774,-1034.9348,0
165,-3205.3413,1424.8243,-1079.6807,0
166,-3556.7,1398.7881,-1095.7262,0
167,-3088.7898,1506.275,-1127.1992,0
168,-2870.4001,1615.7714,-1140.1023,0
169,-3314.607,1496.0521,-1082.7595,0
170,-3298.662,1535.7408,-1051.4922,0
171,-3702.4165,1375.521,-1069.4353,0
172,-2979.94,1609.8446,-1108.9143,0
173,-3514.8562,1409.2032,-1110.7255,0
174,-3252.0403,1448.8448,-1065.5931,0
175,-3230.2505,1548.0295,-1008.00116,0
176,-3163.739,1600.9047,-1054.2024,0
177,-3558.204,1395.5559,-1059.6697,0
178,-3908.6255,1318.0344,-1039.897,0
179,-3259.5264,1570.0961,-1010.47705,0
180,-2004.8865,1704.9072,-1153.7637,0
181,-2676.836,1654.3171,-1146.7646,0
182,-4094.2634,1221.8593,-1033.8932,0
183,-3076.7554,1560.4506,-1000.957,0
184,-3805.696,1307.3796,-1068.5515,0
185,-3183.5334,1424.7584,-1016.12823,0
186,-3830.7664,1285.666,-1060.6431,0
187,-3253.532,1449.753,-1142.3389,0
188,-3010.005,1603.2666,-1022.4726,0
189,-3086.719,1466.9679,-1138.577,0
190,-2720.5303,1634.7024,-1042.9279,0
191,-3397.3687,1491.2737,-1021.6673,0
192,-2947.0676,1613.5571,-1068.0623,0
193,-2882.0383,1506.2814,-1074.4078,0
194,-3360.6921,1464.9545,-1059.0518,0
195,-3400.0867,1457.6635,-1115.6055,0
196,-3429.1223,1408.7789,-1065.5813,0
197,-2760.8867,1663.6306,-1098.9784,0
